,slot,flight,eta,fpfs,time,priority,margins,airline,cost,num,type
0,0,FD0,0,0,0,0.7864436198859506,38,D,0.7864436198859506,0,A321
1,1,FA1,1,2,2,0.6257834979593557,17,A,0.6257834979593557,1,AT43
2,2,FD2,2,4,4,1.7269754623987608,20,D,1.7269754623987608,2,B752
3,3,FB3,3,6,6,0.5545634325401234,19,B,0.5545634325401234,3,AT72
4,4,FC4,4,8,8,1.5045758517301446,48,C,1.5045758517301446,4,B752
5,5,FD5,5,10,10,1.4812816149974166,28,D,1.4812816149974166,5,B744
6,6,FB6,6,12,12,1.6532779214358457,40,B,1.6532779214358457,6,B752
7,7,FC7,7,14,14,1.6469358769900284,37,C,1.6469358769900284,7,B752
8,8,FA8,8,16,16,1.5154947425696916,33,A,1.5154947425696916,8,B738
9,9,FA9,9,18,18,0.7378162519602173,39,A,0.7378162519602173,9,DH8D
10,10,FB10,10,20,20,1.4112214252369888,32,B,1.4112214252369888,10,B752
11,11,FC11,11,22,22,0.5019203531776073,41,C,0.5019203531776073,11,B752
12,12,FB12,12,24,24,0.6652087850673847,40,B,0.6652087850673847,12,A320
13,13,FB13,13,26,26,1.515634896910398,35,B,1.515634896910398,13,A332
14,14,FD14,14,28,28,0.8230290680727721,52,D,0.8230290680727721,14,B752
15,15,FC15,15,30,30,1.6202379848784412,58,C,1.6202379848784412,15,B738
16,16,FA16,16,32,32,0.6612673182592047,56,A,0.6612673182592047,16,AT43
17,17,FA17,17,34,34,1.4697697249424664,53,A,1.4697697249424664,17,A319
18,18,FD18,18,36,36,0.5951447034932906,39,D,0.5951447034932906,18,E190
19,19,FC19,19,38,38,1.3579982062821025,49,C,1.3579982062821025,19,B763
